make,label,campaigns
crestline,"Crestline Coach",2
cruise-car,"Cruise Car",2
custom-fire-apparatus,"Custom Fire",2
del-nat,"Del Nat",2
delco,"Delco Trailers",2
denso,Denso,2
maxzone,Depo,2
diamond-c,"Diamond C Trailers",2
diamondback,Diamondback,2
diono,Diono,2
dodgen,Dodgen,2
lemans,"Drag Specialties",2
driverge,Driverge,2
east-manufacturing,"East Manufacturing",2
ecco,Ecco,2
elite,Elite,2
enerco,Enerco,2
iss,Evercraft,2
executive-coach,"Executive Coach",2
fsv,Farber,2
federal,Federal,2
federal-mogul,"Federal Mogul",2
felling-trailers,Felling,2
emerson,Fisher,2
flye,Flye,2
manning,Ford,2
blanchat,Ford,2
unruh-fire,Ford,2
fox-factory,"Fox Factory",2
frazer,Frazer,2
triple-e-recreational-vehicles,"Free Spirit",2
frontline,Frontline,2
fruehauf,Fruehauf,2
fuel,Fuel,2
glaval-bus,"Glaval Bus",2
goshen,Goshen,2
goshen-coach,Goshen,2
great-dane-trailers,"Great Dane",2
great-lakes,"Great Lakes",2
grech,Grech,2
gulf-stream-coach,"Gulf Stream",2
hercules,Hercules,2
holiday-house,"Holiday House",2
host,"Host Campers",2
whammerdyne,"Ii Much",2
iljin,Iljin,2
immi,Immi,2
kaffenbarger,International,2
xl,Isuzu,2
john-evans,"John Evans",2
k-n,"K N",2
karavan,Karavan,2
kido-sports,"Kido Sports",2
kiel,Kiel,2
king-of-the-road,"King of the Road",2
koni,Koni,2
kuryakyn,Kuryakyn,2
kustom-fit-a-division-of-villa-furniture-mfg-co,"Kustom Fit",2
kz,Kz,2
ldj,Ldj,2
lem,"Lightning Emotors",2
liquidspring,Liquidspring,2
lotus-cars,Lotus,2
luxfer,"Luxfer Gas Cylinders",2
m-b-sturgis,"M B Sturgis",2
magna,"Magna Steyr",2
mando,Mando,2
marathon,Marathon,2
mcclaren,Mclaren,2
medix,Medix,2
mekra,"Mekra Lang",2
meritor-wabco,"Meritor Wabco",2
mickey-truck-bodies,"Mickey Truck Bodies",2
midway,Midway,2
tireco,Milestar,2
mobility-works,"Mobility Works",2
molly,"Molly Trolley",2
