reference,launched,make,models,concern,vehicles,rewrites_caught,page
RM/2022/022,2022-09-16,"Honda Motorcycles",GL1800DA,"Abnormal data may cause engine stall or clutch disengagement whilst driving.",3343,0,https://carsmultiverse.com/uk-recall/rm-2022-022/
R/2022/272,2022-09-16,"Scania Truck",Lpgrs,"There should be 2 or 3 slots at each end of the track rod link. The ball joints at the ends of the track rod are secured by tightening a clamp over the slots. In some cases there have been instances of slots missing from the track rod link.",311,0,https://carsmultiverse.com/uk-recall/r-2022-272/
R/2022/244,2022-09-16,"Mercedes-Benz Vans",Vito,"CONFIGURATIONS WERE WRITTEN INTO ONE OR MORE CONTROL UNITS THAT MIGHT NOT MEET SPECIFICATIONS",1,0,https://carsmultiverse.com/uk-recall/r-2022-244/
R/2022/270,2022-09-15,"Mercedes Benz Bus","Tourismo MB E 17 RHD","Various parts for the interior have been installed that lack the necessary fire certification.",1,0,https://carsmultiverse.com/uk-recall/r-2022-270/
R/2022/250,2022-09-14,Mercedes-Benz,"AMG GT, CLS and E-Class","THE TRANSMISSION WIRING HARNESS MIGHT NOT BE ROUTED ACCORDING TO SPECIFICATIONS",7368,0,https://carsmultiverse.com/uk-recall/r-2022-250/
RPT/2022/003,2022-09-13,Temared,"CAR Platform 4521S NEW 2.7T_ALU","The shafts to accommodate the extendable ramps have been manufactured with insufficient wall strength",1,0,https://carsmultiverse.com/uk-recall/rpt-2022-003/
R/2022/273,2022-09-13,Vw,"Grand California","THE CRANK ROOF WINDOW COULD COME LOOSE BECAUSE OF INCORRECT BONDING TO ITS HINGE",196,0,https://carsmultiverse.com/uk-recall/r-2022-273/
R/2022/262,2022-09-12,"Land Rover","Range Rover","SOME OF THE HOT END EXHAUST BRACKET FIXINGS MAY NOT HAVE BEEN FASTENED OR NOT HAVE BEEN FASTENED TO THE CORRECT TORQUE",1392,0,https://carsmultiverse.com/uk-recall/r-2022-262/
R/2022/261,2022-09-12,Bmw,"5 Series Saloon, 7 Series Saloon, 7 Series Saloon LWB and 1 more","In rare cases the starter motor can inadvertently be activated permanently presenting a risk of a thermal event",103928,0,https://carsmultiverse.com/uk-recall/r-2022-261/
R/2022/253,2022-09-12,Hyundai,"Nexo FE","HYDROGEN GAS DETECTION SENSOR FAILURE.",30,0,https://carsmultiverse.com/uk-recall/r-2022-253/
RSPV/2022/013,2022-09-09,"Claas Tractor Sas","A72 Arion 400","A POTENTIAL RISK OF A NON-COMPLIANT PARKING BRAKE PAWL HAS BEEN IDENTIFIED",95,0,https://carsmultiverse.com/uk-recall/rspv-2022-013/
R/2022/240,2022-09-09,"Fiat Chrysler",Scudo,"VEHICLES MAY HAVE BEEN FITTED WITH THE FRONT CROSSMEMBER INCORRECTLY TIGHTENED",2,0,https://carsmultiverse.com/uk-recall/r-2022-240/
R/2022/219,2022-09-09,"Fiat Chrysler",Scudo,"A HIGH VOLTAGE HARNESS CONNECTOR MIGHT NOT BE TO THE CORRECT SPECIFICATION",11,0,https://carsmultiverse.com/uk-recall/r-2022-219/
R/2022/218,2022-09-09,Ram,"3500, 2500 and 1500","INCOMPATABLE REAR-VIEW CAMERA AND RADIO SYSTEMS MIGHT PREVENT IMAGE DISPLAYING",6,0,https://carsmultiverse.com/uk-recall/r-2022-218/
R/2022/217,2022-09-09,Ram,"3500, 2500, RAM Truck DX and 1 more","SIDE AIR BAG INFLATABLE CURTAIN INFLATOR MIGHT RUPTURE",44,0,https://carsmultiverse.com/uk-recall/r-2022-217/
R/2022/216,2022-09-09,Ram,"1500 Pickup (DS), RAM Truck DX, 3500 10K LB CAB Chassis and 2 more","THE SIDE AIR BAG INFLATABLE CURTAIN (SABIC) INFLATOR MAY RUPTURE.",215,0,https://carsmultiverse.com/uk-recall/r-2022-216/
R/2022/215,2022-09-09,"Alfa Romeo","Giulia and Stelvio","THE AUTOMATIC HEADLIGHT POSITION SENSORS MAY NOT HAVE BEEN CALIBRATED",1946,0,https://carsmultiverse.com/uk-recall/r-2022-215/
R/2022/213,2022-09-09,Dodge,Durango,"THE ELECTRONIC STABILITY CONTROL WARNING LAMP MAY NOT DISPLAY PROPERLY UNDER CERTAIN CONDITIONS",0,0,https://carsmultiverse.com/uk-recall/r-2022-213/
R/2022/212,2022-09-09,Ram,"2500 Pickup and 3500 10K LB CAB Chassis","THE ELECTRONIC STABILITY CONTROL WARNING LAMP MAY NOT DISPLAY PROPERLY UNDER CERTAIN CONDITIONS",40,0,https://carsmultiverse.com/uk-recall/r-2022-212/
R/2022/211,2022-09-09,Ram,"1500 Pickup (DT)","On a number of vehicles equipped with a Trailer Reverse Steering Control Module (TRSCM) the rear-view image may not be displayed under certain conditions.",6,0,https://carsmultiverse.com/uk-recall/r-2022-211/
R/2022/187,2022-09-09,"Fiat Chrysler","500 Abarth","INEFFECTIVE/INCORRECT TIGHTENING OF A LOCK NUT ON THE STEERING GEAR ROD",1,0,https://carsmultiverse.com/uk-recall/r-2022-187/
R/2022/186,2022-09-09,"Fiat Chrysler",500,"INEFFECTIVE/INCORRECT TIGHTENING OF A LOCK NUT ON THE STEERING GEAR ROD",52,0,https://carsmultiverse.com/uk-recall/r-2022-186/
R/2022/210,2022-09-08,"Fiat Chrysler","500 BEV","VEHICLES MAY HAVE BEEN FITTED WITH A FAULTY LEFT OR RIGHT SIDE HALF-SHAFT",2,0,https://carsmultiverse.com/uk-recall/r-2022-210/
R/2022/259,2022-09-07,Subaru,"WRX STI","REVERSE LIGHT MAY FAIL DUE TO COATING ON THE SWITCH",1543,0,https://carsmultiverse.com/uk-recall/r-2022-259/
R/2022/251,2022-09-06,Mercedes-Benz,C-Class,"The engine control unit wiring harness might come in contact with the engine hood",4,0,https://carsmultiverse.com/uk-recall/r-2022-251/
RSPV/2022/012,2022-09-05,Wildax,"Solaris, Solaris (XL) and Pulsar","REAR SEATING SAFETY BELT INSTALLATION NEEDS A MINOR UPGRADE",1776,0,https://carsmultiverse.com/uk-recall/rspv-2022-012/
RM/2022/020,2022-09-05,Niu,"MQI GT EVO","Loss of drive power due to a firmware issue with the electric motor",94,0,https://carsmultiverse.com/uk-recall/rm-2022-020/
RM/2022/032,2022-09-01,"Indian Motorcycle Company",FTR,"Motorcycles may experience a failure at the coolant junction resulting in coolant loss during operation",576,0,https://carsmultiverse.com/uk-recall/rm-2022-032/
R/2022/260,2022-09-01,Subaru,"Levorg, XV, Outback and 1 more","THE ELECTRONIC PARK BRAKE CONNECTOR MAY DISCONNECT",19076,0,https://carsmultiverse.com/uk-recall/r-2022-260/
R/2022/258,2022-09-01,"Mercedes-Benz Vans","Vito 639","THE DRIVER'S AIRBAG MAY NOT CORRECTLY DEPLOY IF ACTIVATED",4469,0,https://carsmultiverse.com/uk-recall/r-2022-258/
R/2022/249,2022-09-01,Mercedes-Benz,"Marco Polo","Dismantling or assembly of the additional battery could inadvertently lead to an undetected damage to a wiring harness.",84,0,https://carsmultiverse.com/uk-recall/r-2022-249/
RM/2022/021,2022-08-30,Lexmoto,LJ125T-9M-E5,"One of the locating bolts on the rear disc brake may not be sufficiently tight or include a locking compound.",180,0,https://carsmultiverse.com/uk-recall/rm-2022-021/
R/2022/237,2022-08-26,"Toyota (Gb)",Proace,"THERE IS A POSSIBILITY THAT THE REAR BRAKE CALIPER WAS INCORRECTLY ASSEMBLED DURING MANUFACTURE",47,0,https://carsmultiverse.com/uk-recall/r-2022-237/
RCT/2022/001,2022-08-24,"Schmitz Cargobull Ag","S.KO Cool SCB*S3B","Partial detachment of profiles and/or scuff plates and/or underbody protection on the S.KO V7 due to defective adhesive bonding.",628,0,https://carsmultiverse.com/uk-recall/rct-2022-001/
R/2022/291,2022-08-24,Audi,Q5,"INNER AND OUTER SHEET METAL COMPONENTS OF REAR TAILGATE MAY NOT HAVE BEEN JOINED SUFFICIENTLY",2,0,https://carsmultiverse.com/uk-recall/r-2022-291/
R/2022/257,2022-08-22,Bmw,"M5, 5 Series Saloon and 5 Series Touring","Screw connections of some seats and seatbelts may not have been properly tightened during vehicle production",9,0,https://carsmultiverse.com/uk-recall/r-2022-257/
R/2022/256,2022-08-22,Bmw,"Mini Clubman, Mini and Mini Countryman","Undetected EGR System leaks may cause thermal activity in the intake manifold.",71684,0,https://carsmultiverse.com/uk-recall/r-2022-256/
R/2022/255,2022-08-22,Bmw,"X4, 7 Series Saloon LWB, X3 and 22 more","Undetected EGR System leaks may cause thermal activity in the intake manifold",11296075,0,https://carsmultiverse.com/uk-recall/r-2022-255/
R/2022/254,2022-08-19,"Nissan (Gb)",NV400,"Potential fuel ingress into a piezo-electric actuator unit within the fuel injectors.",292,0,https://carsmultiverse.com/uk-recall/r-2022-254/
R/2022/223,2022-08-19,Jaguar,"F-Pace and F Type","A DAMAGED FRONT SEAT BELT PRE TENSIONER TUBE MAY HAVE BEEN INSTALLED ON THE SEAT BELT RETRACTOR",986,0,https://carsmultiverse.com/uk-recall/r-2022-223/
R/2022/222,2022-08-19,"Land Rover","Defender, Discovery Sport, Range Rover Sport and 2 more","DAMAGED FRONT SEAT BELT PRE TENSIONER TUBE MAY HAVE BEEN INSTALLED ON THE SEAT BELT RETRACTOR",14905,0,https://carsmultiverse.com/uk-recall/r-2022-222/
R/2022/214,2022-08-17,Jaguar,F-Pace,"INCORRECT SPECIFICATION TAILGATE MOUNTED REAR LAMPS MAY HAVE BEEN INSTALLED",6254,0,https://carsmultiverse.com/uk-recall/r-2022-214/
R/2022/246,2022-08-16,Mercedes-Benz,EQS,"INCORRECT TOWING EYE THREADED CONNECTION",12,0,https://carsmultiverse.com/uk-recall/r-2022-246/
R/2022/245,2022-08-16,Mercedes-Benz,"EQS and EQE","The thread of the towing device in the front or rear bumper of certain vehicles might not correspond to the specifications.",388,0,https://carsmultiverse.com/uk-recall/r-2022-245/
R/2022/238,2022-08-16,Mercedes-Benz,"GLC and E-Class","THE ROUTING OF THE TRANSMISSION WIRING HARNESS MIGHT NOT MEET SPECIFICATIONS",2964,0,https://carsmultiverse.com/uk-recall/r-2022-238/
R/2022/248,2022-08-12,Ford,Focus,"VEHICLES COULD HAVE A FRONT SUSPENSION KNUCKLE THAT WAS INCORRECTLY MANUFACTURED",179,0,https://carsmultiverse.com/uk-recall/r-2022-248/
R/2022/247,2022-08-12,Rolls-Royce,"Ghost and Ghost Extended Wheelbase","EMERGENCY CALL (eCall) FUNCTION IS NOT AVAILABLE",56,0,https://carsmultiverse.com/uk-recall/r-2022-247/
RCOMP/2022/006,2022-08-09,"Braunability Ab","SL Standard Lockable","Some supplied parts (Seat Feet) are made out of an incorrect aluminium alloy.",1721,0,https://carsmultiverse.com/uk-recall/rcomp-2022-006/
R/2022/221,2022-08-09,Honda,"Jazz Crosstar and Jazz","THE FRONT WIDE CAMERA MAY NOT START UP IN THE CORRECT WAY AFTER THE VEHICLE HAS STARTED",30928,0,https://carsmultiverse.com/uk-recall/r-2022-221/
R/2022/362,2022-08-08,Vauxhall,"Vivaro C","Insufficient tightening torque of the steering gear fastening bolts can lead to vibration or improper steering behaviour.",1,0,https://carsmultiverse.com/uk-recall/r-2022-362/
R/2022/252,2022-08-08,Vauxhall,"Vivaro C","On the affected vehicles equipped with a manual handbrake the efficiency of the handbrake and service brake may be compromised",49,0,https://carsmultiverse.com/uk-recall/r-2022-252/
R/2022/242,2022-08-08,Citroen,"Spacetourer and Dispatch IV","THE EFFICIENCY OF THE HANDBRAKE AND SERVICE BRAKE MAY BE COMPROMISED.",54,0,https://carsmultiverse.com/uk-recall/r-2022-242/
R/2022/241,2022-08-08,Peugeot,"Expert 4 and Traveller","THE EFFICIENCY OF HANDBRAKE AND SERVICE BRAKE MIGHT BE COMPROMISED",114,0,https://carsmultiverse.com/uk-recall/r-2022-241/
R/2022/233,2022-08-08,"Mercedes-Benz Vans","Vito 447","On certain vehicles the gear recognition sensor could under certain circumstances while shifting to the reverse gear underrun a certain limit parameter and therefore transmit incorrect particular sensor signals",1835,0,https://carsmultiverse.com/uk-recall/r-2022-233/
RCOMP/2022/007,2022-08-05,"Motea Gmbh","V-Trec Brake Lever 138224","V-Trec brake lever may cause safety risk",1,0,https://carsmultiverse.com/uk-recall/rcomp-2022-007/
R/2022/225,2022-08-05,Mercedes-Benz,C-Class,"VEHICLES MIGHT BE EQUIPPED WITH AN INCORRECT VARIANT OF THE TYRE PRESSURE LABEL IN THE TANK FLAP",2,0,https://carsmultiverse.com/uk-recall/r-2022-225/
R/2022/195,2022-08-02,Mercedes-Benz,CLA(118),"BOWDEN CABLES WITH AN INSUFFICIENT LENGTH MAY HAVE BEEN INSTALLED IN THE FRONT DOORS",12,0,https://carsmultiverse.com/uk-recall/r-2022-195/
R/2022/229,2022-08-01,Renault,"Master III","RISK OF FUEL LEAKAGE AT THE FUEL RAIL FEED PIPE",3,0,https://carsmultiverse.com/uk-recall/r-2022-229/
R/2022/206,2022-08-01,Bmw,"5 Series Saloon, X1, 3 Series Touring and 20 more","THE EXHAUST GAS RECIRCULATION COOLER MAY LEAK OVER TIME AND CAUSE THERMAL INCIDENT",8623773,0,https://carsmultiverse.com/uk-recall/r-2022-206/
R/2022/239,2022-07-29,Ford,"Puma, S-Max, Kuga and 2 more","THE eCALL FEATURE WILL STOP FUNCTIONING DUE TO A MALFUNCTION",46940,0,https://carsmultiverse.com/uk-recall/r-2022-239/
RCOMP/2022/005,2022-07-26,"He-Man Dual Controls","VW Golf 8","Diesel vehicles may have had dual controls installed incorrectly due to a deviation from instruction manuals provided by the manufacturer.",633,0,https://carsmultiverse.com/uk-recall/rcomp-2022-005/
R/2022/235,2022-07-26,Peugeot,"508 V2","THE ENGINE MANAGEMENT SOFTWARE CALIBRATION COULD BE INCORRECT",826,0,https://carsmultiverse.com/uk-recall/r-2022-235/
R/2022/234,2022-07-26,Citroen,"C5 Aircross and DS7 Crossback","THE ENGINE MANAGEMENT SOFTWARE CALIBRATION COULD BE INCORRECT.",2646,0,https://carsmultiverse.com/uk-recall/r-2022-234/
R/2022/198,2022-07-26,"Mercedes-Benz Vans","Sprinter 906","THE DRIVER'S FRONT AIR BAG MAY NOT DEPLOY AS INTENDED",64143,0,https://carsmultiverse.com/uk-recall/r-2022-198/
RTW/2022/001,2022-07-25,"Goodyear S.A.","Goodyear Marathon LHT II 275/70R22.5","POSSIBLE SIDEWALL RUPTURE",238,0,https://carsmultiverse.com/uk-recall/rtw-2022-001/
R/2022/230,2022-07-25,Citroen,C4,"THE REAR HUB BEARING LOCATING BOLTS MAY BE INCORRECTLY TIGHTENED",1,0,https://carsmultiverse.com/uk-recall/r-2022-230/
R/2022/184,2022-07-25,Genesis,"G80EV, GV70EV and GV60","TEMPORARY PARKING BRAKE RELEASE IS POSSIBLE WHWN AN INSTANTANEOUS ERROR OCCURS IN THE SENSING SIGNAL",417,0,https://carsmultiverse.com/uk-recall/r-2022-184/
RM/2022/019,2022-07-22,"Gas Gas","MC 250","THERE IS A POSSIBILITY OF ENGINE FAILURE DUE TO AN INCORRECTLY PROGRAMMED CDI CONTROL UNIT",25,0,https://carsmultiverse.com/uk-recall/rm-2022-019/
R/2022/228,2022-07-21,Peugeot,"508 V2 and 3008 V2","A HIGH VOLTAGE BATTERY WHERE THERE IS A MISMATCH IN THE VOLTAGE OF THE INDIVIDUAL CELLS",16,0,https://carsmultiverse.com/uk-recall/r-2022-228/
R/2022/227,2022-07-21,Peugeot,"3008 V2 and 508 V2","A HIGH VOLTAGE BATTERY WHERE THERE IS A MISMATCH IN THE VOLTAGE OF THE INDIVIDUAL CELLS",8,0,https://carsmultiverse.com/uk-recall/r-2022-227/
R/2022/226,2022-07-21,Vauxhall,"Grandland X Phev","A HIGH VOLTAGE BATTERY WHERE THERE IS A MISMATCH IN THE VOLTAGE OF THE INDIVIDUAL CELLS",3,0,https://carsmultiverse.com/uk-recall/r-2022-226/
R/2022/224,2022-07-21,Citroen,"DS7 Crossback","A HIGH VOLTAGE BATTERY WHERE THERE IS A MISMATCH IN THE VOLTGAGE OF THE INDIVIDUAL CELLS",1,0,https://carsmultiverse.com/uk-recall/r-2022-224/
R/2022/220,2022-07-21,"Dennis Eagle",Elite,"THERE IS POTENTIALLY A MISMATCH OF SPLINES BETWEEN A JOINT AND THE SHAFT ON THE STEERING COLUMN.",1362,0,https://carsmultiverse.com/uk-recall/r-2022-220/
R/2022/209,2022-07-21,Ford,Mustang,"THE IMAGE PROCESSING MODULE -A (IPMA) IS NOT CALIBRATED CORRECTLY",2,0,https://carsmultiverse.com/uk-recall/r-2022-209/
R/2022/231,2022-07-19,Ford,Kuga,"Under certain operating conditions an oil and/or fuel vapour leak in the presence of an ignition source may result in an engine compartment or vehicle fire localized melting or smoke.",16155,0,https://carsmultiverse.com/uk-recall/r-2022-231/
R/2022/167,2022-07-19,Ford,"Kuga Phev","INTERNAL FAULT WITH ONE OF THE BATTERY ARRAYS MAY CAUSE OVERHEATING",760,0,https://carsmultiverse.com/uk-recall/r-2022-167/
RM/2022/018,2022-07-18,Sinnis,"Terrain 125 (EURO5)","THE ECU MODULE CAN BECOME OVERLOADED AND MAY CAUSE THE FUEL PUMP RELAY TO REMAIN LIVE AFTER THE IGNITION SYSTEM IS TURNED OFF.",746,0,https://carsmultiverse.com/uk-recall/rm-2022-018/
R/2022/243,2022-07-15,"Renault Trucks","Premium, D Access, Midlum and 1 more","SOME STEERING SHAFTS WERE ASSEMBLED WITH AN INCORRECT COMPONENT",20,0,https://carsmultiverse.com/uk-recall/r-2022-243/
RSPV/2022/011,2022-07-14,"Brp-Can Am",Ryker,"THE HANDLEBAR STEM BOLT MAY BREAK SUDDENLY",78,0,https://carsmultiverse.com/uk-recall/rspv-2022-011/
R/2022/201,2022-07-14,"Renault Trucks","D Range Wide, D Range Narrow and T High","SOME STEERING SHAFTS WERE ASSEMBLED WITH AN INCORRECT COMPONENT",2211,0,https://carsmultiverse.com/uk-recall/r-2022-201/
R/2022/208,2022-07-13,Peugeot,Boxer,"SOME VEHICLES HAVE BEEN PRODUCED WITHOUT THE REQUIRED EARTHING CONNECTION ON THE PROTECTIVE COVER OF THE HIGH VOLTAGE CONNECTION BOX",10,0,https://carsmultiverse.com/uk-recall/r-2022-208/
R/2022/207,2022-07-13,Citroen,Relay,"SOME VEHICLES HAVE BEEN PRODUCED WITHOUT THE REQUIRED EARTHING CONNECTION ON THE PROTECTIVE COVER OF THE HIGH VOLTAGE CONNECTION BOX",12,0,https://carsmultiverse.com/uk-recall/r-2022-207/
R/2022/205,2022-07-13,"Daimler Truck","Actros 963","THE BLIND SPOT ASSIST SYSTEM IS NOT ACTIVATED ON RIGHT-HAND DRIVE VEHICLES",11,0,https://carsmultiverse.com/uk-recall/r-2022-205/
R/2022/204,2022-07-13,Vauxhall,"Vivaro C","THE HIGH VOLTAGE HARNESS MIGHT NOT BE TO THE CORRECT SPECIFICATION.",33,0,https://carsmultiverse.com/uk-recall/r-2022-204/
R/2022/203,2022-07-13,Peugeot,"Traveller, 208 V2, Expert 4 BEV and 1 more","THE HIGH VOLTAGE HARNESS FITTED MIGHT NOT BE TO THE CORRECT SPECIFICATION",64,0,https://carsmultiverse.com/uk-recall/r-2022-203/
R/2022/202,2022-07-13,Citroen,"DS3 Crossback, Dispatch IV, Spacetourer and 1 more","THE HIGH VOLTAGE HARNESS FITTED MIGHT NOT BE TO CORRECT SPECIFICATION",44,0,https://carsmultiverse.com/uk-recall/r-2022-202/
