reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2026/177,2026-06-12,"Land Rover","Defender and Discovery","Defender and Discovery 2026 Model Year Fuel Tank Wall Thickness",48,0,https://carsmultiverse.com/uk-recall/r-2026-177/
R/2025/555,2026-06-12,Jaguar,"E-Pace and F-Pace","E-PACE F-PACE Defender Discovery Sport Range Rover Evoque and Range Rover Velar PHEV Traction Battery Fire Risk",85,0,https://carsmultiverse.com/uk-recall/r-2025-555/
R/2025/553,2026-06-12,"Land Rover","Discovery Sport, Range Rover Evoque, Defender and 1 more","E-PACE F-PACE Defender Discovery Sport Range Rover Evoque and Range Rover Velar PHEV Traction Battery Fire Risk",861,0,https://carsmultiverse.com/uk-recall/r-2025-553/
R/2026/191,2026-06-11,"Mercedes Benz",S-Class,"SRPC2604 – Windshield bonding",2,0,https://carsmultiverse.com/uk-recall/r-2026-191/
R/2026/200,2026-06-08,"Toyota (Gb)","Proace and Proace City","Water pump replacement on certain Toyota Proace and Proace City",15890,0,https://carsmultiverse.com/uk-recall/r-2026-200/
R/2026/234,2026-06-05,Piaggio,"Liberty 125 Iget, Liberty 50 Iget and Liberty 50-125-150 Iget","Liberty 50-125-150 iGet Headlamp – Safety Recall Campaign",27,0,https://carsmultiverse.com/uk-recall/r-2026-234/
R/2026/203,2026-06-05,Mercedes-Benz,"GLB and CLA","Software version of communication module",37,0,https://carsmultiverse.com/uk-recall/r-2026-203/
R/2026/231,2026-06-04,Peugeot,208,"Peugeot 208 Horn sound volume",41085,0,https://carsmultiverse.com/uk-recall/r-2026-231/
R/2026/224,2026-06-04,Bmw,IX3,"Check the Head Airbag Threaded Connection; Rework if Necessary",248,0,https://carsmultiverse.com/uk-recall/r-2026-224/
R/2026/230,2026-06-03,Ds,DS4,"VSM software Interior door handles",589,0,https://carsmultiverse.com/uk-recall/r-2026-230/
R/2026/229,2026-06-03,Citroen,C5X,"VSM software Interior door handles",131,0,https://carsmultiverse.com/uk-recall/r-2026-229/
R/2026/228,2026-06-03,Peugeot,"308, 408, 3008 and 1 more","VSM software Interior door handles",19430,0,https://carsmultiverse.com/uk-recall/r-2026-228/
R/2026/227,2026-06-03,Vauxhall,"Astra L and Grandland","VSM software Interior door handles",24451,0,https://carsmultiverse.com/uk-recall/r-2026-227/
R/2026/216,2026-06-03,Bentley,"Continental GT, Continental GTC and Flying Spur","RECALL CAMPAIGN – Bentley Continental GT Continental GT Convertible Flying Spur - Incorrect Front Driveshafts (RE26/14 RD93)",10,0,https://carsmultiverse.com/uk-recall/r-2026-216/
R/2026/215,2026-06-03,Bmw,IX3,"Replacing the Convenience Charging Electronics",13,0,https://carsmultiverse.com/uk-recall/r-2026-215/
R/2026/197,2026-06-03,Ds,DS4,"Risk of wrong fuel pipe routing",3,0,https://carsmultiverse.com/uk-recall/r-2026-197/
R/2026/275,2026-06-02,"Eura Mobil",Xtura,"1074 Product safety recall booster cabling Xtura (wiring harness Vers.1) // 1075 Product safety recall booster cabling Xtura (wiring harness Vers.2)",7,0,https://carsmultiverse.com/uk-recall/r-2026-275/
R/2026/196,2026-06-02,Vauxhall,"Astra L","Risk of wrong fuel pipe routing",49,0,https://carsmultiverse.com/uk-recall/r-2026-196/
R/2026/171,2026-06-01,Subaru,Crosstrek,"SRT 382 - Incorrect Vertical Load Value on Trailer Hitch Label for 2024-2025MY Crosstrek Vehicles",70,0,https://carsmultiverse.com/uk-recall/r-2026-171/
R/2026/249,2026-05-29,Citroen,Relay,"Relay Smart Tachograph.",18,0,https://carsmultiverse.com/uk-recall/r-2026-249/
R/2026/248,2026-05-29,Peugeot,Boxer,"Boxer Smart Tachograph.",183,0,https://carsmultiverse.com/uk-recall/r-2026-248/
R/2026/247,2026-05-29,Vauxhall,Movano,"Movano Smart Tachograph",87,0,https://carsmultiverse.com/uk-recall/r-2026-247/
R/2026/218,2026-05-28,"Volvo Bus","B0E(3) and B8R(3)","Battery Tray lockstop missing",115,0,https://carsmultiverse.com/uk-recall/r-2026-218/
R/2026/213,2026-05-28,Ford,"Edge, Mustang and Transit Connect","MVL: REAR-VIEW CAMERA DISTORTED AND/OR LOSS OF IMAGE",28316,0,https://carsmultiverse.com/uk-recall/r-2026-213/
R/2026/198,2026-05-27,"Land Rover","Range Rover, Range Rover Sport and Range Rover Velar","Range Rover Range Rover Sport and Range Rover Velar Audio Amplifier Water Damage",36,0,https://carsmultiverse.com/uk-recall/r-2026-198/
R/2026/209,2026-05-22,Alpine,A390,"Upper section of the front bumper (softnose)",59,0,https://carsmultiverse.com/uk-recall/r-2026-209/
R/2026/079,2026-05-21,"Land Rover","Range Rover and Range Rover Sport","Range Rover and Range Rover Sport Panoramic Roof Side Finisher Loose",71,0,https://carsmultiverse.com/uk-recall/r-2026-079/
R/2026/206,2026-05-19,Peugeot,"208 V2","Front lower control arm fasteningg Loose",1761,0,https://carsmultiverse.com/uk-recall/r-2026-206/
R/2026/140,2026-05-15,Mercedes-Benz,G-Class,"SRPC2602 - Wheel Bolt Variant",230,0,https://carsmultiverse.com/uk-recall/r-2026-140/
R/2026/204,2026-05-13,"Volvo Bus","B13R and B8R","Software Update to U-Baseline",208,0,https://carsmultiverse.com/uk-recall/r-2026-204/
R/2026/189,2026-05-12,"Daimler Truck","Actros 963","SRL260420 – MICHELIN26 – Check Tyres",7,0,https://carsmultiverse.com/uk-recall/r-2026-189/
R/2026/210,2026-05-11,Ford,"Tourneo Custom and Transit Custom","26S31 – Transit and Transit Custom – Fuel line cracked",113,0,https://carsmultiverse.com/uk-recall/r-2026-210/
R/2026/151,2026-05-11,"Toyota (Gb)","Lexus GS-F and Lexus RC-F","Low pressure fuel pump replacement",1025,0,https://carsmultiverse.com/uk-recall/r-2026-151/
R/2026/174,2026-05-08,Ford,Ranger,"25S19 Ranger – Automatic Transmission no reverse",11,0,https://carsmultiverse.com/uk-recall/r-2026-174/
R/2026/199,2026-05-07,Vauxhall,Grandland,"Grandland EPS software update",225,0,https://carsmultiverse.com/uk-recall/r-2026-199/
R/2026/119,2026-05-06,"Aston Martin","DBX, DBX707 and DBX S","DBX Rear Lower Arm Bolt",1903,0,https://carsmultiverse.com/uk-recall/r-2026-119/
R/2026/181,2026-05-05,Ford,"Focus, Galaxy, Kuga and 3 more","Multi Vehicle Line (MVL): Telecommunications Control Module (TCU) loss of Function Software Update",12956,0,https://carsmultiverse.com/uk-recall/r-2026-181/
R/2026/192,2026-05-04,Audi,Q5,"Replacing seat belt with tensioner",2119,0,https://carsmultiverse.com/uk-recall/r-2026-192/
R/2026/128,2026-05-04,Hyundai,"Kona OS EV","Some vehicles fitted with a high voltage battery may have internal cell voltage deviation",25056,0,https://carsmultiverse.com/uk-recall/r-2026-128/
R/2026/194,2026-05-01,"Volvo Bus",B8R,"Urea Pump Replace",7,0,https://carsmultiverse.com/uk-recall/r-2026-194/
R/2026/195,2026-04-30,"Harley Davidson","Fltrt, Flhlt, Fxbr and 6 more","2024-2026 MILWAUKEE-EIGHT AIRBOX BASEPLATE",568,0,https://carsmultiverse.com/uk-recall/r-2026-195/
R/2026/180,2026-04-29,Ford,"Tourneo Connect and Transit Connect","25C74 Transit Connect Tourneo Connect - Position Lights Not Operating Correctly",19,0,https://carsmultiverse.com/uk-recall/r-2026-180/
R/2026/117,2026-04-29,"Honda Motorcycles","CL500AP, CL500AS, CMX500A2P and 5 more","Steering Lock Screw Failure",1822,0,https://carsmultiverse.com/uk-recall/r-2026-117/
R/2026/078,2026-04-28,"Land Rover","Range Rover and Range Rover Sport","Range Rover and Range Rover Sport Plug-in Hybrid Battery Capacity",2344,0,https://carsmultiverse.com/uk-recall/r-2026-078/
R/2026/223,2026-04-27,"Trigano Spa","Kronos 590 Compact","Restoration of Grey Water Tank Screws",181,0,https://carsmultiverse.com/uk-recall/r-2026-223/
R/2026/185,2026-04-27,Ds,"DS3 Crossback","BCM software missing telltale if LKA unavailable",76,0,https://carsmultiverse.com/uk-recall/r-2026-185/
R/2026/184,2026-04-27,Citroen,Berlingo,"BCM software missing telltale if LKA unavailable",2869,0,https://carsmultiverse.com/uk-recall/r-2026-184/
R/2026/183,2026-04-27,Peugeot,"208 V2, 2008 V2, Rifter and 1 more","BCM software missing telltale if LKA unavailable",24446,0,https://carsmultiverse.com/uk-recall/r-2026-183/
R/2026/182,2026-04-27,Vauxhall,"Corsa F and Combo","BCM software missing telltale if LKA unavailable",19068,0,https://carsmultiverse.com/uk-recall/r-2026-182/
R/2026/178,2026-04-27,Ford,Transit,"25C56 Transit - Potential Incorrect CO2 Emissions Recorded On The Certificate Of Conformity",602,0,https://carsmultiverse.com/uk-recall/r-2026-178/
R/2026/170,2026-04-24,Ford,Puma,"Puma -Certificate of Conformity (CoC) Update Tyre Mismatch",4124,0,https://carsmultiverse.com/uk-recall/r-2026-170/
R/2026/162,2026-04-24,Citroen,"C5 Aircross V2","MCU inverter",1,0,https://carsmultiverse.com/uk-recall/r-2026-162/
R/2026/161,2026-04-24,Peugeot,"5008 V3, 3008 V3 and 408","MCU inverter",13,0,https://carsmultiverse.com/uk-recall/r-2026-161/
R/2026/139,2026-04-24,Kia,"Sorento MQ4, Sportage NQ5, EV9 and 4 more","Kia Cluster Malfunction Recall",8730,0,https://carsmultiverse.com/uk-recall/r-2026-139/
R/2026/193,2026-04-23,Iveco,"X WAY and S WAY","Modification of the front axle brake lines",167,0,https://carsmultiverse.com/uk-recall/r-2026-193/
R/2026/173,2026-04-23,Ford,Mustang,"26C16 Mustang - Lane Keeping System Software Update",9,0,https://carsmultiverse.com/uk-recall/r-2026-173/
R/2026/172,2026-04-23,Ford,Transit,"26C15 Transit - Instrument Panel Cluster Configuration Update",17,0,https://carsmultiverse.com/uk-recall/r-2026-172/
R/2026/165,2026-04-22,Ford,Puma,"26S15 Puma - Driveshaft Inspection",3388,0,https://carsmultiverse.com/uk-recall/r-2026-165/
